,personne
Christopher Nolan,7
Quentin Tarantino,5
Steven Spielberg,4
Martin Scorsese,4
Peter Jackson,3
James Cameron,3
David Fincher,3
Robert Zemeckis,2
Frank Darabont,2
Joe Russo,2
Andrew Stanton,2
Anthony Russo,2
Pete Docter,1
Bob Peterson,1
Irvin Kershner,1
