tconst,knownForTitles,nconst,titre,annee,genres,isAdult,note,personne,job,genre_principal,numVotes,decennie,nb_films
tt0133093,"tt0234215,tt0111257,tt0102685,tt0133093",nm0000206,Matrix,1999,"Action,Sci-Fi",0,8.7,Keanu Reeves,actor,Action,1942391.0,1990,4.0
tt0120915,"tt0376541,tt0947798,tt0110413,tt0434409",nm0000204,Star Wars: Épisode I - La menace fantôme,1999,"Action,Adventure,Fantasy",0,6.5,Natalie Portman,actress,Action,818322.0,1990,4.0
tt0120586,"tt0137523,tt0117381,tt2562232,tt0120586",nm0001570,American History X,1998,"Crime,Drama",0,8.5,Edward Norton,actor,Crime,1136594.0,1990,4.0
tt0120382,"tt0120382,tt0349825,tt1650062,tt0337921",nm0001187,The Truman Show,1998,"Comedy,Drama",0,8.2,Noah Emmerich,actor,Comedy,1105947.0,1990,4.0
tt0120815,"tt0162222,tt0120815,tt0109830,tt0094737",nm0000158,Il faut sauver le soldat Ryan,1998,"Drama,War",0,8.6,Tom Hanks,actor,Drama,1413041.0,1990,4.0
tt0120338,"tt0993846,tt0120338,tt0407887,tt1375666",nm0000138,Titanic,1997,"Drama,Romance",0,7.9,Leonardo DiCaprio,actor,Drama,1210699.0,1990,4.0
tt0114814,"tt0115683,tt0114814,tt0486583,tt0158622",nm0000286,Usual Suspects,1995,"Crime,Drama,Mystery",0,8.5,Stephen Baldwin,actor,Crime,1098345.0,1990,4.0
tt0114709,"tt0230011,tt0114709,tt0095107,tt0092974",nm0001815,Toy Story,1995,"Adventure,Animation,Comedy",0,8.3,Jim Varney,actor,Adventure,1009819.0,1990,4.0
tt0114369,"tt0468569,tt0114369,tt1057500,tt0097239",nm0000151,Seven,1995,"Crime,Drama,Mystery",0,8.6,Morgan Freeman,actor,Crime,1682218.0,1990,4.0
tt0112573,"tt0238380,tt0489270,tt0112573,tt1389137",nm0005171,Braveheart,1995,"Biography,Drama,History",0,8.4,Angus Macfadyen,actor,Biography,1050070.0,1990,4.0
tt0109830,"tt0217869,tt0093779,tt0109830,tt0442933",nm0000705,Forrest Gump,1994,"Drama,Romance",0,8.8,Robin Wright,actress,Drama,2117534.0,1990,4.0
tt0110413,"tt0376541,tt0947798,tt0110413,tt0434409",nm0000204,Léon,1994,"Action,Crime,Drama",0,8.5,Natalie Portman,actress,Action,1179874.0,1990,4.0
tt0111161,"tt0091225,tt0112818,tt0327056,tt0105151",nm0000209,Les Évadés,1994,Drama,0,9.3,Tim Robbins,actor,Drama,2722984.0,1990,4.0
tt0110357,"tt0115798,tt0091042,tt0395251,tt0086567",nm0000111,Le Roi Lion 3D,1994,"Adventure,Animation,Drama",0,8.5,Matthew Broderick,actor,Adventure,1076008.0,1990,4.0
tt0110912,"tt0113161,tt0110912,tt0077631,tt0076666",nm0000237,Pulp Fiction,1994,"Crime,Drama",0,8.9,John Travolta,actor,Crime,2091531.0,1990,4.0
tt0108052,"tt0083987,tt0108052,tt1300854,tt0203119",nm0001426,La liste de Schindler,1993,"Biography,Drama,History",0,9.0,Ben Kingsley,actor,Biography,1375211.0,1990,4.0
tt0107290,"tt4698684,tt0107290,tt0107822,tt0163025",nm0000554,Jurassic Park,1993,"Action,Adventure,Sci-Fi",0,8.2,Sam Neill,actor,Action,1005994.0,1990,4.0
tt0105236,"tt0105236,tt0266697,tt0114508,tt3460252",nm0000514,Reservoir Dogs,1992,"Crime,Thriller",0,8.3,Michael Madsen,actor,Crime,1035298.0,1990,4.0
tt0102926,"tt0103919,tt4648786,tt0102926,tt0119080",nm0501435,Le Silence des agneaux,1991,"Crime,Drama,Thriller",0,8.6,Kasi Lemmons,actress,Crime,1455900.0,1990,4.0
tt0103064,"tt0118928,tt0103064,tt0088247,tt6450804",nm0000157,Terminator 2 : Le jugement dernier,1991,"Action,Sci-Fi",0,8.6,Linda Hamilton,actress,Action,1115209.0,1990,4.0
tt0099685,"tt0141842,tt0099685,tt0104839,tt0112461",nm0000966,Les affranchis,1990,"Biography,Crime,Drama",0,8.7,Lorraine Bracco,actress,Biography,1181458.0,1990,4.0
tt0090605,"tt0078748,tt0095243,tt0499549,tt0118583",nm0000244,Aliens : Le Retour,1986,"Action,Adventure,Sci-Fi",0,8.4,Sigourney Weaver,actress,Action,727835.0,1980,4.0
tt0088763,"tt0091860,tt1898069,tt0118141,tt0310357",nm0000417,Retour vers le futur,1985,"Adventure,Comedy,Sci-Fi",0,8.5,Crispin Glover,actor,Adventure,1227066.0,1980,4.0
tt0086250,"tt0177971,tt0096754,tt0164085,tt0102798",nm0001512,Scarface,1983,"Crime,Drama",0,8.3,Mary Elizabeth Mastrantonio,actress,Crime,857662.0,1980,4.0
tt0086190,"tt2527336,tt0080684,tt0076759,tt0086190",nm0000434,Le Retour du Jedi,1983,"Action,Adventure,Fantasy",0,8.3,Mark Hamill,actor,Action,1068997.0,1980,4.0
tt0080684,"tt2527336,tt0080684,tt0076759,tt0086190",nm0000434,Star Wars: Épisode V - L'Empire contre-attaque,1980,"Action,Adventure,Fantasy",0,8.7,Mark Hamill,actor,Action,1310893.0,1980,4.0
tt0081505,"tt0073486,tt0407887,tt0119822,tt0071315",nm0000197,Shining,1980,"Drama,Horror",0,8.4,Jack Nicholson,actor,Drama,1040143.0,1980,4.0
